ID,問題,解説,選択肢1,選択肢2,選択肢3,選択肢4
886, My electricity was ____ because I didn't pay the bill.,,cut off,held together,fallen apart,kept on
887," If you ____ a minute, I'll check that information for you.",,hold on,hold together,hold up,hold back
888, That question ____ at every meeting.,,comes up,comes to,goes by,goes back
889, Thank you for dinner. We had ____.," You can use an article ""a"" in this case like "" have a good time"".",such a good time,very good time,such good time,so good time
890, I had no idea he was ____.," Such must be followed by adjective + noun like ""such a young guy.""",so young,such young,such youth,as young as
891, I've forgotten ____ that I couldn't understand anything he said., so.... that ....,so much German,such German,a lot of German,almost all German
892," John ____ ""Jack"" by his friends.",,is called,calls,named,wishes to call
893, Hamlet ____ by Shakespeare.,,was written,wrote,was wrote,is writing
894, Our Friday meetings ___ in Room 230.,,are held,have,hold,are having
895, Your order ___ at this very minute.,,is being prepared,is getting ready,has gotten ready,is preparing
896, These poems ____  my daughter in high school.,,were written by,wrote from,have been written by,were written from
897, Don't worry about the gas bill. It ___ paid.,,has already been,has already,hasn't yet,did
898, The meeting room ____ for the Board of Directors meeting tomorrow.,,has been cleaned,is cleaning,cleaned,has been cleaning
899, Tell Pat that his keys _____.,,have been found,have found,have discovered,were discovering
900, Here are the essays which ______ yet.,,haven't been proofread,I proofread,we will proofread,haven't proofread
901," ""Where are the postcards to be mailed?""  ""Oh, they ____.""",,have been mailed already,were mailed yet,have mailed any more,have been mailed since
902, The convention was very _____.,,tiring,bored,finished,excited
903, That TV show was quite ______.,,interesting,interest,interested,most interested
904, That book was very _____.,,exciting,excite,excited,excitable
905, I was really _____ by the news.,,disappointed,shock,shocking,disappointing
906, I need _____ to the store.,,to go,to gone,going,to be gone
907, I want ___ a list of supplies.,,Janet to make,Janet makes,that Janet makes,that Janet will make
908, She told us ___ the report by Friday.,,to finish,to be finish,that it's finishing,that the finish of
909, People say that Chinese is very difficult _____.,  Chinese is very difficult for you to learn.,to learn,to be learned,of learning,for learn
910, These forms need ____ right away.,,to be faxed,fax,to be faxing,to fax
911, I want ____ to Meg's party.,,to be invited,to invite,to be invite,invited
912, You _____ an ID card to enter that building.,,have to have,had better to have,must to have,must
913, Last night my brother ____ work until midnight.,,had to,must,has to,have to
914, Yesterday Peter ____ his rent.,  文法的には、 must pay か had to payしかあり得ない。yesterday があるので、過去のhad to pay ,had to pay,must paid,had to,must pay
915, _____ we really leave tomorrow morning?,,Must,Have to,Will must,Have
916, What ______ before the meeting?,,do I have to do,must do I,have I must do,have to do
917, You ___ be late for tomorrow's meeting with the president.,,must not,must not to,have not to,don't have to
918, _____ call for an ambulance?, Have you ever called for an ambulance? seems OK but....,Have you ever had to,Have you ever,Have you to,Did you must
919, Train ____ haven't increased in three years., fee=money charged for some service or privilege fare=the money one pays for a ride.,fares,bills,fees,charges
920," The former of those two books is world-famous, but the _____ is hardly known by anyone."," The fomer..., the latter ...",latter,lastly,last,latest
921," I am really excited about the transfer, and ______.",,my husband is also,also is my husband,that too is my husband,my husband is so
922, _____ of the members have finished reading the report yet.,,None,No one,Nothing,No
923, They'll both be working in the head office ______.,,in six months' time,past six months from now,almost six months' time,after six months from here
924," ______ we got there, most of the exhibits were closed.",,By the time,By when,By then,At when
925," I tried to fix the printer myself, but ____ than I had expected.",,it was much more difficult,it was so much difficult,it was so difficult more,it was extremely difficult
926," _____ further help, feel free to call our hot line any day of the week.",,For,If,Unless,Wanting
927, There are certain advantages ___ buying a faster computer.,,of,by,about,for
928, Our ______ decision doesn't have to be our final one. We can modify it if we need to.,,initial,influential,informed,inconvenient
929, What can we do to prevent our machines _____ being infected by computer viruses?,,from,in,against,despite
930," We only have ____, so I don't think we need to check our bags."," luggage is uncountable so you cannot say ""a few luggages""....",a little luggage,a few luggages,one luggage,not much luggage
931," While we had a very nice _____, it made me awfully tired."," travel is uncoutable noun. So you cannot say ""a very nice travel""",trip,travel,way,excitement
932, I _____ a raise in three years.,,haven't received,don't receive,wasn't received,hadn't receive
933," I saw Henry at the train station last night, but I don't think he saw ___.",,me,that,I,it
934, I've already gotten a few good ____ for my presentation on Friday.," ""a few"" must be followed by plurul. Information is uncountable. Advice is also  uncountable. Idea is countable but it is single.",suggestions,idea,advice,informations
935, Would you rather live in ______?," You must say ""the countryside"" instead of ""a countryside"".",a city or the countryside,a city or a countryside,city or country,the cities or countries
936, That television series ____ on the novel of the same name., television series can be single.,is based,is basing,are basing,are based
937, ____ has been postponed to the fourteenth.,,Tomorrow's meeting,The tomorrow's meeting,The meeting of tomorrow,The meeting on tomorrow
938, I'm not very good __ word processing., be good at....,at,for,in,about
939, Children who are two years old and younger are _______ free of charge to most concerts and films.,,admitted,admit,admits,admitting
940," After discussing the terms of the new health-benefits contract, _______ management and employees were satisfied.",,both,also,either,too
941," Although we have _______ not to offer you a position at this time, we will keep your resume on file for future openings.",,decided,deciding,decision,decidedly
942, The teachers' association has announced that the food and drinks _______ supplied at the annual conference will not be provided this year.,,usually,hugely,evenly,strictly
943, All passengers should present their _______ documents at the check-in counter.,,boarding,boarded,to board,boards
944, Mayor Williams proudly described the city as a place where the citizens are _______ for their hospitality.,,known,returned,taken,held
945, There is now increased competition among motor-vehicle manufacturers _______ has resulted in better cars at lower prices.,,that,those,what,where
946," Comco, Inc., became the leading supplier of computer _______ last year, less than ten years after it was founded.",,parts,amounts,types,kinds
947, The recent increase in tourism has done less to improve the business of small retailers in this area than we _______ predicted.,,originally,original,originated,originality
948, 1.110 The cost of repairing the water damage to the museum after the storm _______ to be more than one million dollars.,,is expected,expects,is expecting,expected
949, Atlantis Software Company _______ its clients complete satisfaction with all its products.,,guarantees,requests,admits,agrees
950," The sales representative from Correct Copies, Ltd., returned Mr. Yoshida's call while he was _______.",,out,through,along,aside
951," Once the berries are harvested, Green Fields Farms washes and packages the fruit for _______ to retail stores.",,distribution,distribute,distributed,distributional
952," Although measures have been introduced to discourage the use of mobile telephones inside the opera house, _______ effectiveness remains limited.",,their,they,them,theirs
953," When their first tests failed, the engineers at OKM Corporation agreed it was _______ to try using different materials.",,time,end,moment,turn
954," Topics at the business communication workshop _______ defending an argument, synthesizing information, and writing precisely and concisely.",,include,includes,including,inclusion
955," _______ most job seekers are looking for a permanent job, a temporary position may serve as a bridge to full-time employment.",,While,How,That,So
956, Dr. Marsha Herbert's illustrations were clear enough to make her presentation _______ understandable.,,easily,easier,easy,ease
957, The apartments on the lower floors cost less because they are more exposed _______ dust and the noise of traffic.,,to,without,from,against
958," By registering for our on-line payment plan, customers are authorizing the bank to _______ automatic withdrawals on the first day of every month.",,make,consent,see,trust
959," Speaking _______ behalf of the vice president, Alan Lee thanked the employees for their contributions to the fund-raising project.",,on,at,by,for
960, Next Thursday the Lambert Historical Society will present _______ methods for learning more about the history of your home.,,specific,specify,specifying,specifications
961," Although Oliver Rodriguez' books have shaped the way that businesses handle staff relations, he does not consider _______ an expert on the subject.",,himself,he,him,his
962," Since many people want to attend the awards ceremony on Friday, extra buses will be made _______ to the public.",,available,additional,frequent,employable
963, The guest speaker highlighted some ideas for _______ introducing change in the workplace.,,successfully,success,succeed,succeeding
964, Conference participants interested in industrial development should _______ schedule a visit to Bridgevelle's factories.,,definitely,practically,recently,fortunately
965," The gift shop in the hotel lobby specializes in handcrafted gift items, each one of them unique and _______.",,memorable,memory,memorize,memories
966, Training for our new processors will take place _______ a three-day period in July.,,over,among,beyond,behind
967, The forethought and planning _______ at each step of writing a proposal will have a direct impact on the chances of its acceptance.,,invested,invest,investor,investing
968," Insofar as the company is liable for _______, the dissatisfied customer will be compensated for any damage.",,negligence,slight,disregard,overlook
969, One reason that the economy of the country is doing so well is that people now have more discretionary funds at their _______.,  at one's disposal = 自由に使える,disposal,dispose,disposing,disposes
970," In order for you to receive the early registration rate, your application form must be postmarked _______ Friday, October 28.",,no later than,in advance,beforehand,previously
971, A new system _______ the latest data-analysis methods was implemented this week.,,that incorporates,is incorporating,incorporation of,had incorporated
972," _______ in the late 1800's, many of the coastline's lighthouses remain standing today, having withstood the forces of nature for decades.",,Built,Building,Been built,Having built
973, The results of the study _______ the hypothesis that had been proposed by researchers at the National Medical Institute.,,confirmed,submitted,certified,depended
974, Dr. Johnson is offering a three-hour workshop during _______ she will share some perspectives on effective time management.,,which,whose,while,whatever
975," Performing series of trial runs before launching large-scale production of any new product is common _______ at Juvo, inc.",,practice,usage,ground,manner
976, Yesterday the officers voted _______ to offer large bonuses to high-performing employees.,,unanimously,commonly,increasingly,critically
977," The minimum term of your contract with us will be _______ a period of two years, with the option to renew.",,for,past,of,when
978, Antique cars are seen very _______ these days because they are extremely expensive to maintain.,,infrequently,hardly,uneasily,weakly
979, Please contact Robert Chen for _______ in purchasing office equipment.,,help,store,type,furniture
980, The awards ceremony will be _______ on the third floor of the Park Station Hotel.,,held,raised,taken,granted
981," After Massey Corporation acquired Brawley, Ltd., the _______ of its stock rose twenty percent.",,value,valuable,valuate,valued
982," In March, the Grand symphony Orchestra will present an _______ opera by talented newcomer Maria Cruz.",,exciting,excite,excites,excited
983, We hope to send _______ tax documents to you by the end of the week.,,your,you,yours,yourself
984, All materials _______ for the upcoming seminar need to be copied at least two days in advance.,,required,called,questioned,invited
985," After the switch malfunction, electrical service on the main building was _______ restored at 8 P.M.",,finally,constantly,consecutively,usually
986, Traveling by train to Tokyo takes approximately one hour less _______ traveling by car.,,than,for,with,as
987," Because Hong Kong is home to people from all over the world, a _______ of fashion styles can be seen in the city on any given day.",,variety,kind,separateness,distance
988, Midtown Hospital compares _______ with other hospitals and provides services at lower rates.,,favorably,favor,favored,favorable
989," _______ there had not been slight delays in the bus service to the airport, Ms. Suzuki would have caught her scheduled flight to Brussels.",,If,Whereas,Unless,Even
990, Magnum Plus cameras _______ very popular right now because they are so easy to use.,,are becoming,became,to become,becomes
991, The most _______ memo from the personnel department announced five new job openings.,,recent,constant,occupied,modern
992, The board of trustees will _______ vote on the revised proposal at its meeting later this month.,,definitely,define,definite,definitive
993," Because of _______ extremely focused customer bases, small business owners can often respond quickly to new economic trends.",,their,they,theirs,them
994, Payment is _______ at the time you check out of the conference center.,,expected,expect,expecting,expectation
995, Officials attribute the _______ in service to a software upgrade that makes the system run faster., attribute A to B = AはBのおかげと考える。,improvement,exchange,relief,lift
996," Mark Jarvela, a junior employee, proposed an innovative project that has been funded by one of the organization's biggest _______.",,sponsors,sponsor,sponsored,sponsoring
997, Fargo Electronics has _______ halted production of its newest line of video games until retailers have sold off the existing surplus.,,temporarily,consecutively,energetically,vacantly
998, Please note that this brochure is intended as information only and does not replace or _______ the product warranty.,,supplement,supplements,supplemented,supplementing
999, The cost of round-trip air transportation is included _______ the nine-day cruise package.,,in,by,at,to
1000, Dr. Sato has indicated that there may soon be an _______ for an apprentice technician in the chemical-production laboratory.,,opening,open,opened,openly
1001," Mr. Hernandez is not available at the time the work crew is scheduled to arrive, and _______ is Ms. Hakkonen.",,neither,so,also,yet
1002, The meteorological agency recommended that tourists to the region be _______ dressed for frigid conditions.,,suitably,suitable,suitability,suitableness
1003, Please _______ the bottom portion for your records.,,retain,retaining,retains,retained
1004, Repairing the old copy machine would have _______ half as much as buying a new one.,,cost,lasted,spent,paid
1005, The market-research department conducted a _______ on how often people listen to the radio while driving their cars.,,survey,design,response,broadcast
1006," Because the sales representatives were late leaving the office, there was very _______ time for us to talk before the client meeting.",,little,small,short,brief
1007, Editors of the Financial Gazette reserve the right to review advertisements and correct _______ errors in spelling or format.,,any,well,them,much
1008, The National University plays an important _______ in preparing leaders for the country's educational system.,,role,work,piece,task
1009," Research suggests the health benefits of whole grains come from the _______ of all the nutrients, not just the amount of fiber.",,combination,proximity,working,settlement
1010, Intercity Bus Company will be providing _______ bus service for holiday travelers next weekend.,,frequent,often,numerous,really
1011," Although Dr. Obetz is qualified in several areas, nutritional health is one of her _______.",,specialties,specials,specializes,specialists
1012, The president of Corvatech announced that this year's annual report is ready to be _______ to the company stockholders.,,distributed,published,transacted,disposed
1013, The institution's ability to meet its _______ growth levels will depend on the commitment of all staff., targetも aim も意味が近いが、 目標を狙うというニュアンスは targetにある。 aim は獲物を狙うという感じ。,targeted,objected,aimed,figured
1014, Some officials still need _______ of the importance of separate playing fields for young football and baseball players.,,to be convinced,convince,be convincing,have convinced
1015," _______ all the candidates applying for the job, Mr. Wang appears to be the most promising.",,Of,On,Between,Through
1016," In order to make room for new inventory, stores that _______ would not offer promotional discounts might advertise a limited-time sale.",,otherwise,solely,further,fully
1017," The manufacturer guarantees that its cosmetic products are good for three years or until the expiration date on the package, _______ is sooner.",,whichever,what,when,that
1018, The analyst's commentary in the progress report was sharply _______ of the leadership team.,,critical,critic,critically,criticism
1019," In recognition of Elaine Tang's exceptional service to _______ company, the human resources director will honor her at tonight's employee awards ceremony.", 第四回模試 101,our,ours,us,we
1020, Randy Waters will be doing a product demonstration _______ the electronics convention in Atlanta., 第四回模試 102,at,out,into,across
1021, The clothing shop is _______ because it sells quality uniforms at competitive prices., 第四回模試 103,successful,success,succeed,successfully
1022, Tomorrow we will meet with a _______ of consultants who specialize in staff training and team building., 第四回模試 104,group,supply,measure,fraction
1023," Before using your savings _______ borrowing money to start a business, you should carefully evaluate the financial risks involved.", 第四回模試 105,or,either,so that,nor
1024," Liza Baley recently _______ positive reviews for her performance in Mike Keric's new drama, Nightfall.", 第四回模試 106,received,receives,was receiving,is received
1025, The success of a product depends on _______ factors., 第四回模試 107,various,organized,useful,assembled
1026," Costs for building materials, such as cement, steel, and wood, rose _______ last quarter, lowering the profits of most construction companies.", 第四回模試 108,sharply,sharp,sharpness,sharpen
1027, Our overseas branch office is _______ to open in Taipei next month., 第四回模試 109,scheduled,advanced,informed,maintained
1028, International experience is the main _______ that separates Mr. Sloan from the other candidates for the position., 第四回模試 110,qualification,qualified,qualify,qualifying
1029, Our marketing strategy will be _______ influenced by the feedback we receive from the customer satisfaction survey., 第四回模試 111,strongly,legibly,blankly,loudly
1030, The hotel's quiet mountain setting provides a _______ change for visitors who live in a crowded city., 第四回模試 112,refreshing,refreshment,refreshed,refresh
1031, The building manager has informed us that the west entrance elevators will be out of _______ for the remainder of the week., 第四回模試 113,service,work,aid,help
1032, New employees _______ wish to receive benefits should complete the necessary forms before the 10:00 A.M. orientation session., 第四回模試 114,who,whose,whom,which
1033, Ms. Brown is best suited for the posting because she speaks _______ Mandarin and has lived in Beijing., 第四回模試 115,fluent,experienced,running,prolonged
1034," Thank you for taking the time to meet with me, and I look forward to _______ from you soon.", 第四回模試 116,hearing,hear,hears,heard
1035, The afternoon flight from Tokyo has been canceled _______ a mechanical problem., 第四回模試 117,due to,as much as,because,in case
1036," Following Ms. Aglo's appointment to the board of directors, the firm's investment strategy was _______ reevaluated.", 第四回模試 118,thoroughly,thorough,thoroughness,more thorough
1037," Every summer, Brighton store owners create unique window displays _______ an effort to attract more tourists.", 第四回模試 119 in an effort to + 不定詞　「?しようと努力して」,in,of,by,from
1038," _______ an effort to become more health conscious, many Russians have been switching from high-alcohol vodka to low-alcohol beer.", in an effort to + 不定詞　「?しようと努力して」,In,Of,By,From
1039, Improvements in the manufacturing process resulted in greater _______ in the production of wood furniture., 第四回模試 120,consistency,consisting,consistently,consistent
1040," After the president's welcoming remarks, sales manager Tonya Nero will lead a _______ on product promotion strategies.", 第四回模試 121,discussion,situation,selection,delivery
1041," In order to keep prices _______, Kim's Bakery will begin making its breads and cakes on the premises.", 第四回模試 122  keep + ... + 形容詞,reasonable,reasonably,reasoning,reason
1042," After all resumes have been reviewed, selected candidates will be _______ for interviews.", 第四回模試 123,invited,signaled,stated,produced
1043, Our contact information is printed on the back cover of the manual so that you may _______ refer to it., 第四回模試 124,easily,ease,easy,easiest
1044, Mr. Martin has decided to _______ the planning meeting because of a scheduling conflict., 第四回模試 125,postpone,evaluate,refer,identify
1045, A conservative investment strategy seems _______ in light of the company's current financial situation., 第四回模試 126 in light of ?  ?を考慮に入れると。,appropriate,recognized,alternative,collective
1046," The company handbook _______ the topics of compensation, bonuses and overtime.", 第四回模試 127,covers,has been covered,covering,is covered
1047, The goal of our publication is to provide _______ to students who want to study overseas., 第四回模試 128,assistance,effort,engagement,attraction
1048," _______ budget constraints, all full-time employees will receive a 3 percent salary increase.", 第四回模試 129 besides = ?に加えて。,Despite,When,even if,Besides
1049," During the hotel renovation, special _______ was given to the lighting fixtures and decorations.", 第四回模試 130  hotel renovation = ホテルの改装,attention,introduction,attempt,conference
1050, The inventory should be completed by the end of the week if everything goes _______ plan., 第四回模試 131,according to,in addition to,agreeing with,relating to
1051, Commuters can help reduce pollution by occasionally leaving _______ cars at home and using public transportation., 第四回模試 132,their,them,theirs,they
1052," Following her _______ to sales director, Ms. Lin assumed responsibility for the firm's marketing activities.", 第四回模試 133,promotion,development,delivery,acceptance
1053, Local manufactures have been _______ to hire additional employees until productivity improves., be hesitant to ? = ?することをためらって。 受け身は不適。 第四回模試 134,hesitant,hesitate,hesitation,hesitated
1054, The company _______ computer training to ensure that employees have the latest computer knowledge and skills., 第四回模試 135,provides,regrets,convinces,proceeds
1055, Recent data indicate that the _______ of water in Oriova Valley has dropped over the last two years., 第四回模試 136,consumption,consume,consumer,consumed
1056," If fuel costs rise _______, the terms of our contract may have to be renegotiated.", 第四回模試 137,significantly,mainly,sincerely,freshly
1057, It is imperative that computer passwords _______ kept confidential., 第四回模試 138 It is imperative that 以下は動詞の原型。 It is essential that ? も同様。,be,were,being,had been
1058," Sitting through long presentations can make the audience _______, so speakers should limit their talks to 30 minutes.", 第四回模試 139,restless,remarkable,concise,excessive
1059, Insurance specialists at Datweiler & Associates receive three months of intensive training _______ they begin working with clients., 第四回模試 140,before,rather,whereas,nearly
1060, His shoelaces came _______.,  S+V+C の文型。 come のあとの untied は補語。過去分詞だが、形容詞と考えてよい。,untied,untying,to untie,united
1061, He aimed the gun _______., aim という動詞は　S+V+C とか、 S+V+O の文型にはならない。従って、 He aimed the gun fired. などという英語は存在しない。,and fired,fired,firing,would fire
1062, He broke the stick in _______., in two は二つに　という意味。　into two という言い方もある。 ,two,twos,twice,seconds
1063, Her singing is getting _______.,  well でもいいように思いますが、better and better だと、ますます上達してきたという意味で、進行形と相性がよりいいかなと思います。(解説書にはこの説明がありませんでした。),better and better,well,best,the best
1064, He shot himself _______ the foot., 自分の足を撃った。体のどの部分かを特定する場合は、 in the ... という。,in,on,over,with
1065, He had his sweater on _______ out., 裏表にきた。,inside,upside,insides,backwards
1066, He kept _______ it off.,,putting,put,puts,to put
1067, He is _______ absent., いつもほとんど休みだ。,almost always,most,almost,anyway
1068, She was very _______ in his speech., bored なら、 by か、withになる。 in は intereted しかない。,interested,interesting,bored,occupied.
1069, Her husband left her without _______., 一銭も残さなかった。日本語の感覚と同じ。,a cent,cents,her money,no money
1070, He assured them he _______ a good time., 時制の一致。 主節が過去だから、従属節も過去形になるべき。過去形は、had had だけ。,had had,gets,is having,has had
1071, The cat had a mouse in its _______., 猫の手は、 a paw.  a hand とは言わない。人間の手の中にだったら、in his (her) hands.,paws,hands,feet,legs
1072, It was love _______ first sight., 一目ぼれ、は　love at first sight ,at,in,on,to
1073, Everyone had to sign _______ own name., everyone は単数扱い。　her が選択肢にないので、迷いようがない。最近は男性と女性の区別をしてはいけないというご時世なので、もしあれば、his or her を選ぶのが正しい。,his,him,their,whose
1074," During the movie, she fell _______.",  fall asleep は決まり文句。,asleep,sleepy,sleeping,in sleep
1075, He is _______ his picture taken.,  have + 物 + 過去分詞,having,making,letting,asking
1076, Don't give up; try _______ again.,,and try,on,try,to try
1077, She is _______ a picture in oils.,,painting,writing,coloring,depicting
1078, He was having breakfast in _______.,,the kitchen,kitchen,kitchens,a kitchen
1079, He was so angry he _______ and left.,  up and ? = 突然?する。up はなんと動詞。三人称単数でも過去のことでも、このまま無変化で使われることが多い。この構文は、so ... that?の構文。thatが省略されている。,up,left,good,right
1080, She said she had been there two or _______ times.,,three,one,few,many
1081, The child grabbed his mother _______ the sleeve., (人)の(場所)をつかんだ、という場合は、 grab 人 by 場所,by,on,in,with
1082, The movie _______ him of his childhood.,,reminded,minded,recalled,remembered
1083," When he heard what had happened, he _______.",,was surprised,surprised,was surprising,had surprised
1084, She bought a book for John and two for _______.,,herself,her,him,them
1085, He wanted to see how fast the car _______ go.,,could,must,has to,had to
1086, They agreed to meet at a quarter _______ seven., a quarter to seven = 七時15分前。to は前というときに使う。15分すぎなら、 a quarter past seven,to,for,from,until
1087, The horse reared and _______ the rider off.,,threw,throws,gave,made
1088, About six o'clock it started _______., start (or begin) のあとは不定詞か動名詞が来る。不定詞のときは、次第に?したというニュアンスになる。動名詞だと、突然?したという感じ。,to rain,rain,in rain,and rained
1089, The fisherman caught _______ large fish.,,a rather,ever,little,a little
1090, He woke up in the _______ of the night., midst は文語。,middle,midst,midway,center
1091, The policeman warned him not to drive _______.,  such a hurry には in が必要。 in such a hurry なら正解。,so fast,so hasty,hurry,such a hurry
1092, Newspapers were piled _______ around the room.,  around the room (部屋のあちこちに) があるので、ひとつのstack(この場合「山」と訳すのがいいかな?) というのはおかしい。,in stacks,stacking,to stack,in a stack
1093, This paper is due _______ the end of the month.,  due until とは言わない。,by,until,along,to
1094, People behind him were pushing _______., 彼を支持している人たちは、一生懸命後押しをした。強調するために同じ動詞を繰り返している。,and pushing,pushes,pushed,and pushed
1095, The girl _______ to be about ten years old.,,seemed,saw,was seen,was looked
1096, The elevator stopped when it _______ the fortieth floor.," come, arrive は自動詞。　enter はちょっと意味がちがうかな。",reached,came,arrived,entered
1097, They _______ the matter carefully for several hours., talk は直接目的語をとれない。talk about ? となる。逆に discuss は about をつけてはいけない。,discussed,talked,discussed about,conferred with
1098, The children were shouting at the top of their _______., shout at the top of one's lungs イディオム。「声の限りに叫ぶ。」,lungs,heads,mouths,throats
1099, She had to repeat everything because he was hard _______., 人が主語のときは、 hard of hearing. 音(sound) が主語のときは、　hard to hear. His voice is hard to hear.,of hearing,to hear,for hearing,of the ears
1100," _______ he failed to publish the book successfully, the young man would never have made it to where he is today.", if clause の中は過去の事実の反対、つまり、仮定法過去完了。そのifが省略されて、had が前にきた。,Had,If,Because,Provided
1101, The old man would be much less cynical now if he _______ so concerned with the outcome of the trial.  ,,hadn't been,wouldn't have been,wasn't being,isn't
1102, It's only natural you _______ after the way you've been treated.,,should be upset,are being upset,are upsetting,be upsetting
1103, I'm afraid that the reason _______ you submitted in your report doesn't adequately explain the decline in last quarter's sales., レポートの中に書かれていた理由。なぜ提出したかではない。reason は submitted の目的語。,which,why,in which,for which
1104, The guy on the other end of the phone says he wants to _______ 7:30 tomorrow evening., 7:30 の予約。　予約を7:30 にしたのではない。,fix an appointment for,make an appointment at,reserve an appointment at,make an appointment in
1105, I was only 25 and the multinational's production facilities were too big _______.,,to be given responsibility for,for being given responsibility,to give responsibility to,to have responsibility
1106," _______ the decisions of the board meeting, I found it difficult to concentrate on my work that afternoon.", Being disappointed with なら正解。それの being が省略されているだけ。分詞構文。,Disappointed with,Being disappointment with,despite being disappointed with,since I was disappointed on
1107," _______, it was a fairly successful year for this particular segment of the pharmaceutical industry.", Considering everything into account だと、 consider の意味上の主語が it になってしまうのでダメ。独立分詞構文。,All things being considered,Ignoring everything,Considering everything into account,Time permitting
1108, The shopping center downtown was not as crowded on the first day of trading this year _______.,  as ? as expected。as ? as の構文だが、as と asの間が空いているとわからなくなるので注意が必要。,as expected,than thought,though anticipated,as otherwise
1109, Could you tell everyone that _______ a party to celebrate our first 20 years in business?, throw a party パーティーを開く,I'm thinking of throwing,I think to have,I'm contemplating to have,why don't we have
1110," We're in luck, the boss is in a great mood this morning, he _______ to experiment with his new golf clubs for some time, and this morning the managing director invited him to a round of golf at his club.",,has been wanting,wants,liked,is going
1111," I really don't understand why I keep getting passed over for promotion. I'm the best-qualified person here, _______?","  I'm ... の場合の付加疑問は、 aren't I?   I'm handsome, aren't I?  です。",aren't I,am I,I am,are not I
1112," Could you inspect the machines on the production line, especially the _______ due to insufficient lubricant?",  damagedは、due to以下に修飾されているので、press (プレス機械) の前にでることはできない。,press damaged,damaged press,one,damaged one
1113," _______ in the final outcome of the game, I still had to resume studying for the following day's examination.",  As I was interested でも文法的には正しいが、意味がおかしい。形容詞原級+as+S+V=although S+V,Interested as I was,As interesting as was,As I was interested,"Nevertheless, I was interested"
1114," _______ the data, the members of the research and development team found a potentially viable replacement for the recently banned substance.", During ...ing は絶対に使わない。 during+動名詞は正しいように思うが、ぜったいに使わない。whileにする。(While they were analyzing の　they were が省略されたわけだから、この場合の analyzing は動名詞ではない。),While analyzing,During analyzing,during the analysis,While the analysis of
1115, When John is in a bad mood he _______ down the motorways at excessive speed and it's only a matter of time before the police catch him., take to? =?が好きになる。 to は前置詞なのでその後ろに動詞が来る場合は、動名詞(...ing) が来る。同じような法則に look forward to ?がある。,has taken to driving,has taken to drive,is driving,makes us drive
1116, This information is highly sensitive and under no circumstances _______ the staff about what we are discussing here., 倒置。 under no circumstances が否定の語句が入った副詞句が前に来ているので倒置が起きる。,are you to inform,you are to communicate to,must you to tell it to,communicating it to
1117, He stood back and _______ the newly designed car as it stood in the show room., and のあとは動詞がくる。(andの前が動詞なので) なので、looked か、 admired しかあり得ない。次に、form か、formationのどちらが正しいかが問題。 formationは「形成」という意味。formは、「形」なので、新しくデザインされた車の形　ということで、form しかあり得ない。,admired the form of,on analyzing the shape of,to market,looked at the formation of
1118," Everyone in the large group, which consisted of about 100 boys and girls, _______ the arrival of Santa Claus.", 時制は過去。Everyone は単数扱い。従って、 was thrilling と進行形にするか、was thrilled と受け身にするかを選ぶだけ。極めて簡単な問題。,was thrilled to spy,were excited to observe,was thrilling to perceive,is overjoyed to experience
1119," _______ the commissioning phase of the project was behind schedule, the client was satisfied with the progress that was being achieved.",,Although,Nevertheless,Since,Because
1120, Have you decided what topic you're going to write your graduation thesis _______?, thesis = 学位論文 どのようなテーマで卒業論文を書くか、決めましたか?  on は、 what topicにかかる。こういう topic を受ける前置詞は　on になる。,on,over,around,of
1121, Most customers feel the tone telephone is _______ to the pulse telephone., 前置詞 to との相性の問題。 preferable to ?  ?より好ましい。,preferable,convenient,better,advanced
1122, He wrote his first novel when he was ______.,,eighteen,eighteen years,eighteen-year-old,eighteen age
1123, Property owners are requested to pay their taxes _______.,,once yearly,yearly once,once per yearly,a year's once
1124, I'm afraid he'll have a hard time paying back the money he _______.,,borrowed,loaned,lent,rented
1125, Joan's excellent example has been a great _______ for the rest of the staff., inspiration 以外はまるで意味をなさない。辞書をみること。,inspiration,expiration,respiration,perspiration
1126," _______ we receive our visas by tomorrow, it will be necessary to cancel our vacation plans.", 明日までにVisaを受け取らない限り,Unless,Although,Despite,Except
1127," Had I known you were coming to Chicago, I _______ to the airport to meet you.",,would've gone,went,had gone,would go
1128, All passengers with connecting flights should reschedule _______ flights with the gate attendants.,,their,his,my,his or her
1129, We have received the flight information and are looking forward _______ you when you arrive., look forward to + 名詞　(or 動名詞)  to+不定詞ではない。,to seeing,to see,seeing,to be seen
1130," This year, our corporation has enjoyed the _______ increase in sales in our history.", 前に the があって、 in our history と限定する語句があることから、最上級を選ぶ。歴史上もっとも偉大な。,greatest,outstanding,superior,fullest
1131," Having received several attractive offers from other companies, Frank decided to _______ his job.", ここでは、転職のためやめるのだから、定年退職の retire はそぐわない。,quit,retire,stop,lay off
1132, Mr. Rey is visiting the Denver area to see _______ a potential real estate purchase., 不動産購入についての調査をするために。 to see about...,about,over,into,off
1133, They asked us to fill out the forms in the same way _______ we had done before,,as,with,like,than
1134," If you leave me a number where I can reach you, I will _______ you as soon as I have news.", 他動詞 contact に withは不要。 get in contact with なら正しい。 get in touch with も正しいと思う。,contact,contact with,get in contact to,get to contact with
1135," Although she will be away on business during my visit, she has referred me to a good friend of _______.",,hers,she,her,she's
